-------------------------|----------|----------|----------|----------|-------------------|

File                     |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |

-------------------------|----------|----------|----------|----------|-------------------|

All files                |    66.67 |    71.56 |    79.57 |    68.29 |                   |

 backend/src             |    82.35 |      100 |       40 |    82.35 |                   |

  app.js                 |    82.35 |      100 |       40 |    82.35 |          21,30,35 |

 backend/src/controllers |    62.78 |    71.43 |    83.33 |    64.36 |                   |

  index.js               |      100 |       50 |      100 |      100 |                 3 |

  league-controller.js   |    76.32 |    85.11 |    84.21 |     78.7 |... 36,166,167,168 |

  match-controller.js    |     59.2 |    59.77 |    82.61 |    60.36 |... 47,251,254,258 |

  team-controller.js     |    61.79 |    72.73 |    76.47 |    63.56 |... 65,173,174,175 |

  user-controller.js     |    65.19 |    74.58 |    88.24 |    66.92 |... 78,201,202,203 |

  validation.js          |    45.68 |    74.14 |    84.62 |    47.37 |... 92,93,96,97,98 |

 backend/src/db          |    79.41 |    73.68 |    87.04 |    82.11 |                   |

  index.js               |      100 |       50 |      100 |      100 |                 3 |

  mongo.db.js            |    78.35 |    76.47 |    86.79 |    81.52 |... 76,190,199,200 |

 backend/src/models      |     75.4 |    76.92 |    76.92 |       80 |                   |

  index.js               |      100 |       50 |      100 |      100 |                 3 |

  league.js              |    79.25 |    84.91 |    83.33 |    85.42 |... 46,50,54,64,69 |

  match.js               |    60.42 |    62.79 |    66.67 |    65.12 |... 58,59,62,63,64 |

  team.js                |    80.28 |    79.71 |    83.33 |    84.85 |... 55,78,83,91,95 |

  user.js                |    66.67 |      100 |       50 |    66.67 |               5,6 |

 backend/src/models/DTOs |      100 |      100 |      100 |      100 |                   |

  dataReturnDTO.js       |      100 |      100 |      100 |      100 |                   |

  dataValidDTO.js        |      100 |      100 |      100 |      100 |                   |

 backend/src/routes      |    84.44 |       50 |       72 |    83.33 |                   |

  index.js               |      100 |       50 |      100 |      100 |                 3 |

  mount.routes.js        |    73.68 |      100 |    68.75 |    72.22 |    12,21,30,39,48 |

  mountMatchRoutes.js    |       80 |      100 |    71.43 |       80 |             12,21 |

  routes.config.js       |      100 |      100 |      100 |      100 |                   |

 frontend                |      100 |      100 |      100 |      100 |                   |

  env.js                 |      100 |      100 |      100 |      100 |                   |

 frontend/src/constants  |      100 |      100 |      100 |      100 |                   |

  cookie.js              |      100 |      100 |      100 |      100 |                   |

  routes.js              |      100 |      100 |      100 |      100 |                   |

 frontend/src/helpers    |       50 |    44.44 |       65 |       50 |                   |

  routing.js             |       50 |    44.44 |       65 |       50 |... 89,193,194,195 |

-------------------------|----------|----------|----------|----------|-------------------|
