File                       |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |
---------------------------|----------|----------|----------|----------|-------------------|
All files                  |    66.74 |    67.38 |    81.48 |    68.33 |                   |
 backend/src               |    82.35 |      100 |       40 |    82.35 |                   |
  app.js                   |    82.35 |      100 |       40 |    82.35 |          21,30,35 |
 backend/src/controllers   |     63.3 |    69.86 |    84.11 |    64.88 |                   |
  index.js                 |      100 |       50 |      100 |      100 |                 3 |
  league-controller.js     |     66.1 |    77.55 |    84.21 |    67.86 |... 63,171,172,173 |
  match-controller.js      |     61.2 |    59.34 |    82.61 |    62.36 |... 55,259,262,266 |
  team-controller.js       |    65.94 |    73.85 |    76.47 |    67.42 |... 86,194,195,196 |
  tournament-controller.js |     60.4 |    58.54 |    88.24 |     62.5 |... 28,142,143,144 |
  user-controller.js       |    65.19 |    74.58 |    88.24 |    66.92 |... 78,201,202,203 |
  validation.js            |    56.79 |    79.31 |    84.62 |    59.21 |... 92,93,96,97,98 |
 backend/src/db            |    79.41 |    73.68 |    87.04 |    82.11 |                   |
  index.js                 |      100 |       50 |      100 |      100 |                 3 |
  mongo.db.js              |    78.35 |    76.47 |    86.79 |    81.52 |... 76,190,199,200 |
 backend/src/models        |     69.7 |    66.54 |    81.36 |    72.73 |                   |
  index.js                 |      100 |       50 |      100 |      100 |                 3 |
  league.js                |    68.85 |    64.41 |    83.33 |    73.21 |... 69,73,74,78,79 |
  match.js                 |    62.26 |    62.22 |    66.67 |    66.67 |... 64,65,68,69,70 |
  team.js                  |    73.77 |    73.49 |     87.5 |    76.07 |... 56,157,158,159 |
  tournament.js            |    65.82 |    62.32 |     87.5 |    68.92 |... 03,106,107,108 |
  user.js                  |    66.67 |      100 |       50 |    66.67 |               5,6 |
 backend/src/models/DTOs   |      100 |      100 |      100 |      100 |                   |
  dataReturnDTO.js         |      100 |      100 |      100 |      100 |                   |
  dataValidDTO.js          |      100 |      100 |      100 |      100 |                   |
 backend/src/routes        |    84.78 |       50 |       72 |    83.72 |                   |
  index.js                 |      100 |       50 |      100 |      100 |                 3 |
  mount.routes.js          |    73.68 |      100 |    68.75 |    72.22 |    12,21,30,39,48 |
  mountMatchRoutes.js      |       80 |      100 |    71.43 |       80 |             12,21 |
  routes.config.js         |      100 |      100 |      100 |      100 |                   |
 backend/src/services      |      100 |      100 |      100 |      100 |                   |
  elo-service.js           |      100 |      100 |      100 |      100 |                   |
 frontend                  |      100 |      100 |      100 |      100 |                   |
  env.js                   |      100 |      100 |      100 |      100 |                   |
 frontend/src/api_request  |    42.28 |    39.02 |    58.33 |    42.28 |                   |
  api_request.js           |    42.28 |    39.02 |    58.33 |    42.28 |... 01,205,206,207 |
 frontend/src/constants    |      100 |      100 |      100 |      100 |                   |
  cookie.js                |      100 |      100 |      100 |      100 |                   |
  routes.js                |      100 |      100 |      100 |      100 |                   |
 frontend/src/helpers      |    96.88 |    85.71 |      100 |    96.88 |                   |
  verification.js          |    96.88 |    85.71 |      100 |    96.88 |                57 |
---------------------------|----------|----------|----------|----------|-------------------|
